match_id,season,section,home,away,home_score,away_score,venue,date,home_form,home_attack,home_defence,home_rest_days,home_changed_continent,away_form,away_attack,away_defence,away_rest_days,away_changed_continent,elo_home,elo_away,elo_diff,form_diff,rest_diff,cross_continent,altitude,playoff,margin,home_win
0,2021-22,Round 1,Zebre,Lions,26,38,Stadio Sergio Lanfranchi,2021-09-24,,,,,0,,,,,0,0.0,0.0,0.0,,,1,0,0,-12,0
1,2021-22,Round 1,Ulster,Glasgow,35,29,Ravenhill Stadium,2021-09-24,,,,,0,,,,,0,0.0,0.0,0.0,,,0,0,0,6,1
2,2021-22,Round 1,Cardiff,Connacht,33,21,Cardiff Arms Park,2021-09-24,,,,,0,,,,,0,0.0,0.0,0.0,,,0,0,0,12,1
3,2021-22,Round 1,Benetton,Stormers,22,18,Stadio Comunale di Monigo,2021-09-25,,,,,0,,,,,0,0.0,0.0,0.0,,,1,0,0,4,1
4,2021-22,Round 1,Leinster,Bulls,31,3,Aviva Stadium,2021-09-25,,,,,0,,,,,0,0.0,0.0,0.0,,,1,0,0,28,1
5,2021-22,Round 1,Edinburgh,Scarlets,26,22,Edinburgh Rugby Stadium,2021-09-25,,,,,0,,,,,0,0.0,0.0,0.0,,,0,0,0,4,1
6,2021-22,Round 1,Munster,Sharks,42,17,Thomond Park,2021-09-25,,,,,0,,,,,0,0.0,0.0,0.0,,,1,0,0,25,1
7,2021-22,Round 1,Dragons,Ospreys,23,27,Rodney Parade,2021-09-26,,,,,0,,,,,0,0.0,0.0,0.0,,,0,0,0,-4,0
8,2021-22,Round 2,Scarlets,Lions,36,13,Parc y Scarlets,2021-10-01,-4.0,22.0,26.0,6.0,0,12.0,38.0,26.0,7.0,0,0.2,1.8,-1.6,-16.0,-1.0,1,0,0,23,1
9,2021-22,Round 2,Connacht,Bulls,34,7,Galway Sportsgrounds,2021-10-01,-12.0,21.0,33.0,7.0,0,-28.0,3.0,31.0,6.0,0,-0.6000000000000001,-2.2,1.6,16.0,1.0,1,0,0,27,1
10,2021-22,Round 2,Benetton,Edinburgh,28,27,Stadio Comunale di Monigo,2021-10-02,4.0,22.0,18.0,7.0,0,4.0,26.0,22.0,7.0,0,-0.2,-0.2,0.0,0.0,0.0,0,0,0,1,1
11,2021-22,Round 2,Glasgow,Sharks,35,24,Scotstoun Stadium,2021-10-02,-6.0,29.0,35.0,8.0,0,-25.0,17.0,42.0,7.0,0,0.0,-1.9,1.9,19.0,1.0,1,0,0,11,1
12,2021-22,Round 2,Zebre,Ulster,3,36,Stadio Sergio Lanfranchi,2021-10-02,-12.0,26.0,38.0,8.0,0,6.0,35.0,29.0,8.0,0,-1.8,0.0,-1.8,-18.0,0.0,0,0,0,-33,0
13,2021-22,Round 2,Ospreys,Cardiff,18,14,Liberty Stadium,2021-10-02,4.0,27.0,23.0,6.0,0,12.0,33.0,21.0,8.0,0,1.0,0.6000000000000001,0.3999999999999999,-8.0,-2.0,0,0,0,4,1
14,2021-22,Round 2,Munster,Stormers,34,18,Thomond Park,2021-10-02,25.0,42.0,17.0,7.0,0,-4.0,18.0,22.0,7.0,0,1.9,0.2,1.7,29.0,0.0,1,0,0,16,1
15,2021-22,Round 2,Dragons,Leinster,6,7,Rodney Parade,2021-10-03,-4.0,23.0,27.0,7.0,0,28.0,31.0,3.0,8.0,0,-1.0,2.2,-3.2,-32.0,-1.0,0,0,0,-1,0
16,2021-22,Round 3,Ospreys,Sharks,13,27,Liberty Stadium,2021-10-08,4.0,22.5,18.5,6.0,0,-18.0,20.5,38.5,6.0,0,0.76,-2.21,2.9699999999999998,22.0,0.0,1,0,0,-14,0
17,2021-22,Round 3,Ulster,Benetton,28,8,Ravenhill Stadium,2021-10-08,19.5,35.5,16.0,6.0,0,2.5,25.0,22.5,6.0,0,3.4200000000000004,-0.7,4.12,17.0,0.0,0,0,0,20,1
18,2021-22,Round 3,Edinburgh,Stormers,20,20,Edinburgh Rugby Stadium,2021-10-09,1.5,26.5,25.0,7.0,0,-10.0,18.0,28.0,7.0,0,0.3,-0.6300000000000001,0.9300000000000002,11.5,0.0,1,0,0,0,0
