season,section,home,away,home_score,away_score,venue,date
2021-22,Round 1,Zebre,Lions,26,38,Stadio Sergio Lanfranchi,2021-09-24
2021-22,Round 1,Ulster,Glasgow,35,29,Ravenhill Stadium,2021-09-24
2021-22,Round 1,Cardiff,Connacht,33,21,Cardiff Arms Park,2021-09-24
2021-22,Round 1,Benetton,Stormers,22,18,Stadio Comunale di Monigo,2021-09-25
2021-22,Round 1,Leinster,Bulls,31,3,Aviva Stadium,2021-09-25
2021-22,Round 1,Edinburgh,Scarlets,26,22,Edinburgh Rugby Stadium,2021-09-25
2021-22,Round 1,Munster,Sharks,42,17,Thomond Park,2021-09-25
2021-22,Round 1,Dragons,Ospreys,23,27,Rodney Parade,2021-09-26
2021-22,Round 2,Connacht,Bulls,34,7,Galway Sportsgrounds,2021-10-01
2021-22,Round 2,Scarlets,Lions,36,13,Parc y Scarlets,2021-10-01
2021-22,Round 2,Benetton,Edinburgh,28,27,Stadio Comunale di Monigo,2021-10-02
2021-22,Round 2,Glasgow,Sharks,35,24,Scotstoun Stadium,2021-10-02
2021-22,Round 2,Zebre,Ulster,3,36,Stadio Sergio Lanfranchi,2021-10-02
2021-22,Round 2,Ospreys,Cardiff,18,14,Liberty Stadium,2021-10-02
2021-22,Round 2,Munster,Stormers,34,18,Thomond Park,2021-10-02
2021-22,Round 2,Dragons,Leinster,6,7,Rodney Parade,2021-10-03
2021-22,Round 3,Ospreys,Sharks,13,27,Liberty Stadium,2021-10-08
2021-22,Round 3,Ulster,Benetton,28,8,Ravenhill Stadium,2021-10-08
2021-22,Round 3,Leinster,Zebre,43,7,RDS Arena,2021-10-09
2021-22,Round 3,Glasgow,Lions,13,9,Scotstoun Stadium,2021-10-09
2021-22,Round 3,Connacht,Dragons,22,35,Galway Sportsgrounds,2021-10-09
2021-22,Round 3,Edinburgh,Stormers,20,20,Edinburgh Rugby Stadium,2021-10-09
2021-22,Round 3,Cardiff,Bulls,19,29,Cardiff Arms Park,2021-10-09
2021-22,Round 3,Scarlets,Munster,13,43,Parc y Scarlets,2021-10-10
2021-22,Round 4,Dragons,Stormers,10,24,Rodney Parade,2021-10-15
2021-22,Round 4,Ulster,Lions,26,10,Ravenhill Stadium,2021-10-15
2021-22,Round 4,Zebre,Glasgow,6,17,Stadio Sergio Lanfranchi,2021-10-16
2021-22,Round 4,Benetton,Ospreys,26,29,Stadio Comunale di Monigo,2021-10-16
2021-22,Round 4,Leinster,Scarlets,50,15,RDS Arena,2021-10-16
2021-22,Round 4,Edinburgh,Bulls,17,10,Edinburgh Rugby Stadium,2021-10-16
2021-22,Round 4,Munster,Connacht,20,18,Thomond Park,2021-10-16
2021-22,Round 4,Cardiff,Sharks,23,17,Cardiff Arms Park,2021-10-16
