team,exp_points,top_8,top_4,1st,champion,after_round
Leinster,54.5614,0.9892,0.9057,0.5156,0.4285,0
Bulls,50.0826,0.9596,0.7455,0.2029,0.2478,0
Glasgow,46.9792,0.8875,0.5656,0.0971,0.0906,0
Stormers,44.1373,0.7975,0.3869,0.0444,0.0692,0
Connacht,44.3212,0.7942,0.3951,0.0569,0.0628,0
Lions,41.9101,0.6883,0.265,0.024,0.0383,0
Sharks,40.3236,0.5881,0.2096,0.0197,0.0243,0
Munster,39.5201,0.5463,0.1755,0.0175,0.02,0
Ulster,37.163,0.4118,0.1027,0.0086,0.0072,0
Ospreys,35.8127,0.3403,0.0777,0.0053,0.004,0
Cardiff,35.7359,0.3353,0.0699,0.0035,0.0035,0
Scarlets,33.9461,0.2458,0.0466,0.0018,0.0019,0
Edinburgh,32.2823,0.1814,0.0257,0.0016,0.0011,0
Dragons,30.5947,0.1252,0.0169,0.0006,0.0006,0
Benetton,29.5899,0.0983,0.0113,0.0005,0.0002,0
Zebre,22.4741,0.0112,0.0003,0.0,0.0,0
