round,home,away,date
1,Benetton,Dragons,2026-09-25
1,Connacht,Stormers,2026-09-25
1,Ulster,Edinburgh,2026-09-25
1,Lions,Leinster,2026-09-26
1,Sharks,Ospreys,2026-09-26
1,Munster,Glasgow,2026-09-26
1,Zebre,Bulls,2026-09-26
1,Scarlets,Cardiff,2026-09-26
2,Cardiff,Zebre,2026-10-02
2,Edinburgh,Stormers,2026-10-02
2,Benetton,Connacht,2026-10-02
2,Lions,Ospreys,2026-10-03
2,Dragons,Scarlets,2026-10-03
2,Sharks,Leinster,2026-10-03
2,Munster,Bulls,2026-10-03
2,Glasgow,Ulster,2026-10-03
3,Glasgow,Connacht,2026-10-09
3,Dragons,Ospreys,2026-10-09
3,Bulls,Lions,2026-10-10
3,Stormers,Sharks,2026-10-10
3,Zebre,Edinburgh,2026-10-10
3,Scarlets,Benetton,2026-10-10
3,Ulster,Munster,2026-10-10
3,Leinster,Cardiff,2026-10-10
4,Cardiff,Sharks,2026-10-23
4,Connacht,Zebre,2026-10-23
4,Edinburgh,Lions,2026-10-23
4,Bulls,Ulster,2026-10-24
4,Stormers,Scarlets,2026-10-24
4,Benetton,Glasgow,2026-10-24
4,Leinster,Munster,2026-10-24
4,Ospreys,Dragons,2026-10-24
5,Connacht,Leinster,2026-10-30
5,Glasgow,Lions,2026-10-30
5,Stormers,Ulster,2026-10-31
5,Bulls,Scarlets,2026-10-31
5,Benetton,Edinburgh,2026-10-31
5,Munster,Sharks,2026-10-31
5,Dragons,Zebre,2026-10-31
5,Ospreys,Cardiff,2026-10-31
6,Ospreys,Leinster,2026-12-04
6,Edinburgh,Dragons,2026-12-04
6,Lions,Bulls,2026-12-05
6,Sharks,Stormers,2026-12-05
6,Cardiff,Ulster,2026-12-05
6,Scarlets,Connacht,2026-12-05
6,Glasgow,Benetton,2026-12-05
6,Zebre,Munster,2026-12-05
7,Ulster,Ospreys,2026-12-18
7,Munster,Scarlets,2026-12-18
7,Zebre,Benetton,2026-12-19
7,Stormers,Lions,2026-12-19
7,Cardiff,Dragons,2026-12-19
7,Sharks,Bulls,2026-12-19
7,Leinster,Glasgow,2026-12-19
7,Connacht,Edinburgh,2026-12-19
8,Dragons,Cardiff,2026-12-26
8,Ospreys,Scarlets,2026-12-26
8,Benetton,Zebre,2026-12-27
8,Edinburgh,Glasgow,2026-12-27
8,Ulster,Connacht,2026-12-27
8,Munster,Leinster,2026-12-27
8,Lions,Sharks,2027-02-20
8,Bulls,Stormers,2027-02-21
9,Sharks,Lions,2027-01-02
9,Zebre,Glasgow,2027-01-02
9,Scarlets,Dragons,2027-01-02
9,Connacht,Munster,2027-01-02
9,Edinburgh,Benetton,2027-01-02
9,Cardiff,Ospreys,2027-01-02
9,Leinster,Ulster,2027-01-02
9,Stormers,Bulls,2027-01-03
10,Glasgow,Scarlets,2027-01-22
10,Ulster,Sharks,2027-01-22
10,Lions,Zebre,2027-01-23
10,Stormers,Cardiff,2027-01-23
10,Ospreys,Edinburgh,2027-01-23
10,Benetton,Bulls,2027-01-23
10,Leinster,Dragons,2027-01-23
10,Munster,Connacht,2027-01-23
11,Dragons,Munster,2027-01-29
11,Glasgow,Ospreys,2027-01-29
11,Lions,Cardiff,2027-01-30
11,Stormers,Zebre,2027-01-30
11,Scarlets,Edinburgh,2027-01-30
11,Leinster,Bulls,2027-01-30
11,Benetton,Sharks,2027-01-30
11,Connacht,Ulster,2027-01-30
12,Munster,Benetton,2027-02-26
12,Dragons,Ulster,2027-02-26
12,Lions,Stormers,2027-02-27
12,Bulls,Sharks,2027-02-27
12,Cardiff,Glasgow,2027-02-27
12,Zebre,Scarlets,2027-02-27
12,Ospreys,Connacht,2027-02-27
12,Edinburgh,Leinster,2027-02-27
13,Sharks,Edinburgh,2027-03-19
13,Glasgow,Stormers,2027-03-19
13,Connacht,Cardiff,2027-03-19
13,Ulster,Zebre,2027-03-20
13,Bulls,Dragons,2027-03-20
13,Munster,Ospreys,2027-03-20
13,Scarlets,Lions,2027-03-20
13,Leinster,Benetton,2027-03-20
14,Glasgow,Zebre,2027-03-26
14,Scarlets,Leinster,2027-03-26
14,Bulls,Edinburgh,2027-03-27
14,Connacht,Lions,2027-03-27
14,Sharks,Dragons,2027-03-27
14,Cardiff,Munster,2027-03-27
14,Benetton,Ulster,2027-03-27
14,Ospreys,Stormers,2027-03-27
15,Dragons,Glasgow,2027-04-16
15,Edinburgh,Cardiff,2027-04-16
15,Lions,Munster,2027-04-17
15,Stormers,Benetton,2027-04-17
15,Ospreys,Bulls,2027-04-17
15,Leinster,Connacht,2027-04-17
