team,played,won,drawn,lost,pf,pa,pd,league_pts
Glasgow,18,13,0,5,479,338,141,65
Leinster,18,12,0,6,515,370,145,63
Stormers,18,12,1,5,504,344,160,60
Bulls,18,12,0,6,576,406,170,59
Munster,18,11,0,7,396,376,20,55
Cardiff,18,11,0,7,353,372,-19,55
Lions,18,10,1,7,532,473,59,54
Connacht,18,10,0,8,442,395,47,54
Ulster,18,9,1,8,494,420,74,52
Sharks,18,8,1,9,467,428,39,46
Ospreys,18,7,2,9,376,454,-78,39
Edinburgh,18,7,0,11,362,439,-77,38
Benetton,18,6,2,10,327,493,-166,33
Scarlets,18,4,2,12,361,460,-99,28
Dragons,18,3,4,11,350,481,-131,28
Zebre,18,2,0,16,312,587,-275,15
